Summary,Precipitation Type,Temperature,Humidity
Overcast,null,9.4,0.65
Mostly Cloudy,null,15.5,0.55
Mostly Cloudy,null,23.8,0.4
Mostly Cloudy,null,10.0,0.76
Mostly Cloudy,null,9.4,0.77
Mostly Cloudy,null,11.8,0.67
Partly Cloudy,null,10.7,0.77
Mostly Cloudy,null,17.6,0.57
Mostly Cloudy,null,5.4,0.81
Clear,null,3.9,0.84
Clear,null,7.6,0.64
Overcast,null,15.4,0.46
Overcast,null,11.4,0.71
Mostly Cloudy,null,10.5,0.66
Clear,null,5.4,0.81
Foggy,null,4.8,0.94
Clear,null,13.1,0.76
Foggy,null,6.8,0.94
Mostly Cloudy,null,8.3,0.85
Clear,null,3.7,0.86
Mostly Cloudy,null,13.3,0.84
Mostly Cloudy,null,16.1,0.7
Foggy,null,7.4,0.93
Clear,null,2.3,0.83
Clear,null,13.3,0.56
Mostly Cloudy,null,21.2,0.49
Mostly Cloudy,null,12.3,1.0
Clear,null,3.1,0.85
Mostly Cloudy,null,12.3,0.77
Mostly Cloudy,null,9.7,0.75
Clear,null,9.4,0.67
Clear,null,2.8,0.86
Partly Cloudy,null,17.4,0.48
Partly Cloudy,null,7.0,0.94
Mostly Cloudy,null,7.9,0.83
Clear,null,9.2,0.82
Clear,null,12.7,0.67
Mostly Cloudy,null,13.9,0.58
Mostly Cloudy,null,12.2,0.65
Mostly Cloudy,null,9.4,0.72
Mostly Cloudy,null,17.4,0.68
Mostly Cloudy,null,12.9,0.47
Mostly Cloudy,null,9.4,0.77
Mostly Cloudy,null,8.1,0.75
Overcast,null,14.4,0.58
Mostly Cloudy,null,11.5,0.71
Clear,null,7.2,0.76
Partly Cloudy,null,7.8,0.85
Clear,null,9.8,0.9
Clear,null,10.7,0.87
Clear,null,11.7,0.57
Partly Cloudy,null,11.8,0.62
Clear,null,4.5,0.95
Partly Cloudy,null,9.0,0.83
Mostly Cloudy,null,10.2,0.74
Mostly Cloudy,null,15.6,0.72
Overcast,null,9.2,0.81
Mostly Cloudy,null,10.1,0.61
Clear,null,5.4,0.7
Overcast,null,10.1,0.94
Overcast,null,8.9,0.73
Clear,null,11.7,0.83
Mostly Cloudy,null,15.2,0.61
Partly Cloudy,null,9.7,0.8
Partly Cloudy,null,6.9,0.77
Mostly Cloudy,null,12.1,0.58
Mostly Cloudy,null,10.1,0.67
Mostly Cloudy,null,10.9,0.76
Clear,null,5.4,0.77
Mostly Cloudy,null,7.1,0.92
Clear,null,9.7,0.73
Clear,null,3.5,0.78
Overcast,null,8.0,0.75
Partly Cloudy,null,7.3,0.89
Mostly Cloudy,null,11.2,0.63
Clear,null,2.0,0.91
Mostly Cloudy,null,7.4,0.86
Overcast,null,17.2,0.37
Partly Cloudy,null,8.7,0.9
Clear,null,11.8,0.55
Mostly Cloudy,null,12.1,0.85
Overcast,null,9.1,0.76
Overcast,null,14.0,0.61
Clear,null,3.5,0.85
Mostly Cloudy,null,25.0,0.34
Partly Cloudy,null,11.4,0.71
Mostly Cloudy,null,13.8,0.84
Clear,null,7.2,0.72
Clear,null,7.2,0.8
Mostly Cloudy,null,8.7,0.8
Mostly Cloudy,null,11.8,0.63
Mostly Cloudy,null,7.1,0.78
Foggy,null,4.1,0.91
Partly Cloudy,null,11.3,0.65
Partly Cloudy,null,20.0,0.45
Mostly Cloudy,null,8.7,0.67
Overcast,null,7.7,0.79
Overcast,null,9.9,0.88
Partly Cloudy,null,10.2,0.64
Clear,null,9.9,0.59
Partly Cloudy,null,16.2,0.41
Foggy,null,7.8,0.94
Mostly Cloudy,null,11.8,0.68
Mostly Cloudy,null,15.0,0.72
Partly Cloudy,null,17.6,0.63
Mostly Cloudy,null,12.8,0.63
Partly Cloudy,null,17.7,0.61
Mostly Cloudy,null,9.7,0.66
Overcast,null,10.1,0.94
Partly Cloudy,null,11.2,0.82
Mostly Cloudy,null,14.5,0.8
Partly Cloudy,null,20.1,0.63
Clear,null,6.0,0.83
Partly Cloudy,null,7.0,0.85
Overcast,null,11.5,0.83
Mostly Cloudy,null,16.1,0.7
Partly Cloudy,null,22.6,0.54
Mostly Cloudy,null,11.8,0.74
Clear,null,11.3,0.56
Clear,null,11.8,0.55
Foggy,null,3.5,0.94
Foggy,null,6.2,0.9
Clear,null,3.7,0.84
Mostly Cloudy,null,9.9,0.72
