Summary,Precipitation Type,Temperature,Humidity
Overcast,snow,-3.5,0.86
Foggy,snow,-1.1,0.92
Overcast,snow,-9.7,0.93
Partly Cloudy,snow,-2.8,0.92
Partly Cloudy,snow,-5.2,0.92
Clear,snow,-10.4,0.64
Breezy and Overcast,snow,-0.1,0.76
Foggy,snow,-1.7,0.96
Overcast,snow,-4.3,0.54
Clear,snow,-10.4,0.82
Foggy,snow,-11.7,0.88
Foggy,snow,-1.2,0.93
Clear,snow,-8.4,0.92
Overcast,snow,-2.1,0.93
Foggy,snow,-0.0,1.0
Foggy,snow,-7.5,0.88
Foggy,snow,-2.2,0.98
Clear,snow,-4.4,0.62
Clear,snow,-5.8,0.92
Mostly Cloudy,snow,-1.0,0.82
Mostly Cloudy,snow,-2.1,0.96
Overcast,snow,-5.1,0.91
Clear,snow,-7.2,0.95
Foggy,snow,-2.8,0.92
Overcast,snow,-4.3,0.89
Mostly Cloudy,snow,-7.2,0.88
Overcast,snow,-1.0,0.89
Partly Cloudy,snow,-2.0,0.95
Clear,snow,-2.8,0.86
Overcast,snow,-0.0,0.86
Foggy,snow,-4.0,1.0
Mostly Cloudy,snow,-5.1,0.91
Overcast,snow,-2.2,0.69
Foggy,snow,-0.6,1.0
Foggy,snow,-1.2,0.96
Foggy,snow,-1.1,0.92
Overcast,snow,-7.2,0.96
Mostly Cloudy,snow,-1.1,0.75
Partly Cloudy,snow,-10.9,0.8
Foggy,snow,-1.1,0.99
Clear,snow,-0.6,0.92
Foggy,snow,-7.3,0.96
Mostly Cloudy,snow,-1.1,0.92
Clear,snow,-2.8,0.92
Breezy and Overcast,snow,-2.8,0.85
Partly Cloudy,snow,-3.0,0.72
Foggy,snow,-2.2,1.0
Mostly Cloudy,snow,-2.2,0.88
Overcast,snow,-4.2,0.82
Foggy,snow,-2.1,0.93
Clear,snow,-0.2,0.86
Foggy,snow,-5.0,0.93
Foggy,snow,-4.8,0.84
Clear,snow,-11.2,0.81
Foggy,snow,-1.6,0.96
Mostly Cloudy,snow,-7.0,0.8
Partly Cloudy,snow,-1.2,0.8
Foggy,snow,-2.8,0.92
Mostly Cloudy,snow,-1.0,0.88
Overcast,snow,-2.4,0.68
Foggy,snow,-1.1,0.92
Overcast,snow,-5.1,0.82
Mostly Cloudy,snow,-5.9,0.92
Foggy,snow,-4.3,0.84
Mostly Cloudy,snow,-3.9,0.74
Overcast,snow,-1.2,0.92
Foggy,snow,-5.1,0.96
Foggy,snow,-1.1,1.0
Foggy,snow,-1.5,1.0
Clear,snow,0.0,0.85
Partly Cloudy,snow,-1.6,1.0
Foggy,snow,0.0,0.92
Mostly Cloudy,snow,-0.1,0.86
Foggy,snow,-4.5,1.0
Foggy,snow,-3.1,0.96
Partly Cloudy,snow,-2.8,0.78
Foggy,snow,-0.8,0.99
Foggy,snow,-1.2,0.93
Mostly Cloudy,snow,-7.8,0.71
Overcast,snow,-2.1,0.66
Overcast,snow,-2.8,0.57
Mostly Cloudy,snow,-2.2,0.95
Overcast,snow,-5.8,0.87
Partly Cloudy,snow,-2.4,0.79
Mostly Cloudy,snow,0.0,0.82
Mostly Cloudy,snow,-4.5,0.89
Overcast,snow,-2.3,0.88
Clear,snow,-3.3,0.86
Foggy,snow,-3.4,0.96
Overcast,snow,-4.4,0.84
Foggy,snow,-3.9,0.96
Overcast,snow,-0.1,0.82
Clear,snow,-2.4,0.49
Foggy,snow,-3.9,0.92
Overcast,snow,-10.0,0.73
Overcast,snow,-5.0,0.74
Foggy,snow,-3.2,0.96
Foggy,snow,-7.8,0.96
Foggy,snow,-10.6,0.87
Partly Cloudy,snow,-0.9,0.95
Overcast,snow,-3.9,0.88
Partly Cloudy,snow,-1.1,0.75
Partly Cloudy,snow,-2.3,0.96
Foggy,snow,-1.0,0.93
Partly Cloudy,snow,-8.7,0.92
Overcast,snow,0.0,0.92
Foggy,snow,-0.1,0.93
Partly Cloudy,snow,-11.1,0.86
Mostly Cloudy,snow,-1.6,0.92
Foggy,snow,-1.3,0.93
Overcast,snow,-0.5,0.83
Mostly Cloudy,snow,-7.2,0.8
Overcast,snow,-6.1,0.88
Partly Cloudy,snow,-1.1,0.75
Clear,snow,-5.0,0.92
Clear,snow,-5.4,0.84
Foggy,snow,-4.8,0.99
Overcast,snow,-1.1,0.92
Partly Cloudy,snow,-0.5,0.88
Partly Cloudy,snow,-2.8,0.85
Overcast,snow,-0.0,0.63
Overcast,snow,-2.3,0.82
Overcast,snow,-6.1,0.81
Mostly Cloudy,snow,-4.0,0.85
Breezy and Overcast,snow,-3.9,0.74
Clear,snow,0.0,0.63
Mostly Cloudy,snow,-1.0,0.67
Foggy,snow,-0.6,1.0
Partly Cloudy,snow,-5.0,0.85
Partly Cloudy,snow,-0.5,0.99
Overcast,snow,-0.1,0.86
Foggy,snow,-6.2,0.92
Clear,snow,-5.1,0.57
Partly Cloudy,snow,-1.1,0.68
Clear,snow,-1.0,0.99
Mostly Cloudy,snow,-1.6,0.96
Clear,snow,-2.2,0.68
Overcast,snow,-8.8,0.84
Partly Cloudy,snow,-4.7,0.91
Clear,snow,-0.0,0.93
Overcast,snow,-2.2,0.96
Mostly Cloudy,snow,-3.9,0.78
Overcast,snow,0.0,0.92
Overcast,snow,-2.8,0.82
Clear,snow,-4.6,0.81
Overcast,snow,-4.9,0.85
Partly Cloudy,snow,-2.4,0.79
Mostly Cloudy,snow,-4.3,0.84
Partly Cloudy,snow,-1.9,0.75
Clear,snow,-1.0,0.9
Overcast,snow,-1.2,1.0
Partly Cloudy,snow,-2.5,0.92
Foggy,snow,-5.1,0.92
Overcast,snow,-5.6,0.81
Mostly Cloudy,snow,-1.1,0.88
Partly Cloudy,snow,-2.2,0.81
Mostly Cloudy,snow,-0.2,0.86
Mostly Cloudy,snow,-1.1,0.81
Clear,snow,-1.2,0.63
Partly Cloudy,snow,-4.2,0.92
Clear,snow,-5.3,0.82
Overcast,snow,-2.3,0.75
Foggy,snow,-5.3,0.92
Foggy,snow,-2.5,0.96
Partly Cloudy,snow,-1.0,0.6
Mostly Cloudy,snow,-0.5,0.87
Foggy,snow,-8.7,0.92
Partly Cloudy,snow,-1.2,0.88
Partly Cloudy,snow,-2.1,0.88
Overcast,snow,-4.0,0.82
Foggy,snow,-7.9,0.99
Partly Cloudy,snow,-7.7,0.85
Mostly Cloudy,snow,-0.0,0.6
Mostly Cloudy,snow,-2.2,0.76
Overcast,snow,-1.2,0.86
Foggy,snow,-3.7,0.99
Foggy,snow,-2.6,1.0
Foggy,snow,-0.1,0.92
Foggy,snow,-6.1,0.92
Clear,snow,-1.2,0.88
Overcast,snow,-1.1,0.91
Partly Cloudy,snow,-2.1,0.84
Overcast,snow,-0.6,0.93
Foggy,snow,-3.0,0.92
Overcast,snow,-2.5,0.73
Overcast,snow,-6.1,0.92
Overcast,snow,-1.7,0.87
Clear,snow,-0.1,0.82
Foggy,snow,-3.9,0.78
Overcast,snow,-4.4,0.55
Clear,snow,-1.1,0.78
Mostly Cloudy,snow,-4.1,0.85
Foggy,snow,-1.1,0.92
Overcast,snow,-1.7,0.96
Foggy,snow,-8.3,0.96
Partly Cloudy,snow,-10.6,0.73
Overcast,snow,-4.1,0.54
Clear,snow,-4.4,0.88
Clear,snow,-1.6,0.85
Overcast,snow,-6.0,0.89
Foggy,snow,-0.0,0.96
Foggy,snow,-7.7,0.96
Foggy,snow,-3.6,0.92
Overcast,snow,-1.1,0.75
Overcast,snow,-2.1,0.96
Foggy,snow,-2.7,1.0
Foggy,snow,-7.6,0.93
Foggy,snow,-4.0,0.85
Foggy,snow,-5.8,1.0
Mostly Cloudy,snow,-0.1,0.93
Overcast,snow,-2.2,0.94
Overcast,snow,-1.1,0.87
Overcast,snow,-4.0,0.78
Mostly Cloudy,snow,-0.1,0.96
Clear,snow,-2.2,0.55
Mostly Cloudy,snow,-2.3,0.79
Foggy,snow,-1.3,0.97
Foggy,snow,-6.1,0.99
Mostly Cloudy,snow,-7.2,0.79
Foggy,snow,-1.4,0.97
Mostly Cloudy,snow,-1.2,0.74
Mostly Cloudy,snow,-2.2,0.96
Mostly Cloudy,snow,-2.9,0.69
Clear,snow,-4.1,0.71
Partly Cloudy,snow,-2.2,0.82
Clear,snow,-5.7,0.84
Overcast,snow,-0.5,0.93
Foggy,snow,-3.9,0.92
Partly Cloudy,snow,-1.1,0.69
Mostly Cloudy,snow,-2.7,0.84
Foggy,snow,-10.0,0.92
Partly Cloudy,snow,-7.8,0.61
Mostly Cloudy,snow,-3.3,0.96
Partly Cloudy,snow,-3.3,0.85
Foggy,snow,-4.0,0.98
Clear,snow,-13.5,0.9
Foggy,snow,-1.1,0.96
Foggy,snow,0.0,0.92
Mostly Cloudy,snow,-2.0,0.94
Overcast,snow,-6.1,1.0
Foggy,snow,-0.5,0.99
Overcast,snow,-2.1,0.88
Mostly Cloudy,snow,-3.9,0.92
Partly Cloudy,snow,-7.0,0.95
Clear,snow,-1.2,0.92
Mostly Cloudy,snow,-0.6,0.81
Partly Cloudy,snow,0.0,0.92
Clear,snow,-1.1,0.92
Foggy,snow,-2.7,1.0
Breezy and Foggy,snow,-3.3,0.91
Partly Cloudy,snow,-8.9,0.77
Mostly Cloudy,snow,-1.4,0.93
Overcast,snow,-0.7,0.92
Partly Cloudy,snow,-0.5,1.0
Mostly Cloudy,snow,-1.8,0.96
Mostly Cloudy,snow,-0.6,0.93
Partly Cloudy,snow,-0.1,0.89
Breezy and Overcast,snow,-3.4,0.83
Overcast,snow,-11.1,0.87
Foggy,snow,-6.7,0.92
Partly Cloudy,snow,-2.9,0.88
Mostly Cloudy,snow,-1.2,0.92
Mostly Cloudy,snow,-4.0,0.93
Foggy,snow,-1.1,0.92
Overcast,snow,-2.2,0.95
Mostly Cloudy,snow,-0.1,0.75
Mostly Cloudy,snow,-0.7,0.96
Foggy,snow,-2.3,1.0
Clear,snow,-5.6,0.84
Overcast,snow,-5.0,0.83
Mostly Cloudy,snow,-4.0,0.79
Overcast,snow,-3.9,0.91
Partly Cloudy,snow,-4.7,0.92
Mostly Cloudy,snow,-4.3,0.74
Partly Cloudy,snow,-4.6,0.81
Overcast,snow,-0.9,0.87
Mostly Cloudy,snow,-1.1,0.92
Foggy,snow,-7.1,0.96
Foggy,snow,-6.1,0.92
Overcast,snow,-1.1,0.92
Foggy,snow,-0.6,1.0
Overcast,snow,-0.6,0.88
Mostly Cloudy,snow,0.0,0.92
Mostly Cloudy,snow,-2.4,0.92
Mostly Cloudy,snow,-0.0,0.92
Foggy,snow,-7.8,0.92
Partly Cloudy,snow,-1.2,0.88
Foggy,snow,-0.5,0.95
Partly Cloudy,snow,-7.2,0.64
Mostly Cloudy,snow,-1.2,0.89
Partly Cloudy,snow,-0.9,0.79
Overcast,snow,-1.1,0.92
Overcast,snow,-2.1,0.88
Overcast,snow,-0.0,0.91
Foggy,snow,-1.1,1.0
Foggy,snow,-2.2,0.96
Foggy,snow,-1.0,0.91
Overcast,snow,-2.2,0.87
Foggy,snow,-10.4,0.88
Mostly Cloudy,snow,-0.6,0.94
Overcast,snow,-0.1,0.76
Mostly Cloudy,snow,-0.4,0.96
Overcast,snow,-12.2,0.0
Partly Cloudy,snow,-2.1,0.87
Foggy,snow,-2.2,0.96
Foggy,snow,-5.4,0.96
Partly Cloudy,snow,-0.0,0.69
Overcast,snow,-4.2,0.86
Partly Cloudy,snow,-3.9,0.84
Foggy,snow,-5.0,0.92
Partly Cloudy,snow,-0.0,0.74
Overcast,snow,-5.1,0.82
Overcast,snow,-1.1,0.69
Mostly Cloudy,snow,0.0,0.82
Foggy,snow,-7.2,0.96
Overcast,snow,-4.0,0.86
Overcast,snow,-3.9,0.92
Foggy,snow,-3.9,0.93
Foggy,snow,-5.6,0.88
Overcast,snow,-1.7,0.92
Foggy,snow,-4.8,0.99
Clear,snow,-2.3,0.76
Mostly Cloudy,snow,-11.3,0.88
Clear,snow,-5.9,0.88
Overcast,snow,-3.9,0.85
Mostly Cloudy,snow,-2.3,0.8
Partly Cloudy,snow,-1.1,0.68
Foggy,snow,0.0,1.0
Overcast,snow,-2.2,0.87
Partly Cloudy,snow,-2.9,0.92
Mostly Cloudy,snow,-1.1,0.95
Overcast,snow,-3.8,0.85
Overcast,snow,-1.2,0.75
Overcast,snow,-1.1,0.92
Partly Cloudy,snow,-0.6,0.66
Mostly Cloudy,snow,-1.1,0.92
Breezy and Overcast,snow,-4.1,0.63
Breezy and Overcast,snow,-3.8,0.78
Overcast,snow,-0.7,0.75
Overcast,snow,-1.0,0.92
Partly Cloudy,snow,-1.3,0.92
Foggy,snow,-2.2,1.0
Mostly Cloudy,snow,-1.1,0.99
Partly Cloudy,snow,-2.8,0.79
Mostly Cloudy,snow,-5.2,0.84
Foggy,snow,-8.6,1.0
Overcast,snow,-1.2,0.73
Partly Cloudy,snow,-8.9,0.78
Foggy,snow,-5.5,0.9
Foggy,snow,-4.1,0.99
Overcast,snow,0.0,0.82
Clear,snow,-1.8,0.76
Foggy,snow,0.0,0.85
Overcast,snow,-0.1,0.85
Partly Cloudy,snow,-2.8,0.8
Overcast,snow,-3.8,0.92
Clear,snow,-5.0,0.87
Foggy,snow,-9.2,0.92
Foggy,snow,-5.9,0.96
Foggy,snow,-2.2,0.88
Overcast,snow,-0.0,0.93
Overcast,snow,-3.9,0.85
Clear,snow,-2.9,0.81
Clear,snow,-11.1,0.67
Clear,snow,0.0,0.92
Partly Cloudy,snow,-1.8,0.85
Mostly Cloudy,snow,-0.0,0.94
Foggy,snow,-3.0,0.96
Foggy,snow,-7.2,0.92
Overcast,snow,-0.1,0.83
Foggy,snow,-1.0,0.99
Overcast,snow,-6.2,0.95
Foggy,snow,-0.0,0.96
Overcast,snow,-4.4,0.88
Partly Cloudy,snow,-3.9,0.84
Overcast,snow,-1.0,0.92
Foggy,snow,-7.8,0.88
Foggy,snow,-3.8,0.92
Foggy,snow,-0.1,0.92
Clear,snow,-3.2,0.86
Mostly Cloudy,snow,-2.2,0.75
Partly Cloudy,snow,-6.6,0.88
Clear,snow,-1.1,0.43
Partly Cloudy,snow,-0.6,0.78
Mostly Cloudy,snow,-0.9,0.9
Foggy,snow,-0.6,0.96
Foggy,snow,-2.8,0.92
Foggy,snow,-1.1,0.92
Foggy,snow,-3.8,0.92
Mostly Cloudy,snow,-0.2,0.84
Mostly Cloudy,snow,-1.1,0.9
Overcast,snow,-2.7,0.92
Mostly Cloudy,snow,0.0,0.63
Partly Cloudy,snow,-0.1,1.0
Foggy,snow,-1.7,0.96
Overcast,snow,-2.2,0.94
Mostly Cloudy,snow,-3.4,0.89
Clear,snow,-0.5,0.93
Clear,snow,-1.1,0.92
Overcast,snow,-7.7,0.92
Overcast,snow,-1.1,0.92
Foggy,snow,-1.5,0.92
Foggy,snow,-0.7,0.96
Overcast,snow,0.0,0.85
Foggy,snow,-2.2,1.0
Foggy,snow,-2.4,0.93
Overcast,snow,-3.4,0.79
Foggy,snow,-1.0,1.0
Clear,snow,-11.1,0.8
Overcast,snow,-2.2,0.89
Partly Cloudy,snow,-5.2,0.92
Overcast,snow,-0.9,0.79
Overcast,snow,-0.0,0.92
Overcast,snow,-1.2,0.92
Foggy,snow,-2.2,1.0
Partly Cloudy,snow,-2.9,0.86
Mostly Cloudy,snow,-1.1,0.68
Overcast,snow,-2.8,0.56
Mostly Cloudy,snow,-7.8,0.92
Clear,snow,-1.7,0.92
Mostly Cloudy,snow,-6.1,0.81
Overcast,snow,-2.7,0.7
Foggy,snow,-5.0,0.92
Clear,snow,-2.3,0.81
Foggy,snow,-0.6,1.0
Foggy,snow,-4.9,0.99
Foggy,snow,-1.0,0.92
Overcast,snow,-3.9,0.92
Clear,snow,-10.9,0.8
Mostly Cloudy,snow,-1.7,0.66
Clear,snow,-1.2,0.82
Partly Cloudy,snow,-2.2,0.88
Mostly Cloudy,snow,-2.2,0.75
Overcast,snow,-0.1,0.91
Clear,snow,-16.7,0.87
Overcast,snow,-4.2,0.92
Foggy,snow,-0.6,0.96
Overcast,snow,0.0,0.82
Foggy,snow,-1.2,0.93
Foggy,snow,-7.8,0.88
Partly Cloudy,snow,-7.2,0.88
Partly Cloudy,snow,-1.0,0.92
Overcast,snow,-0.0,0.92
Clear,snow,-10.0,0.8
Mostly Cloudy,snow,-1.6,0.95
Overcast,snow,-1.7,1.0
Partly Cloudy,snow,-2.3,0.75
Mostly Cloudy,snow,-1.7,0.88
Mostly Cloudy,snow,-1.1,0.88
Breezy and Mostly Cloudy,snow,0.0,0.75
Foggy,snow,-7.2,0.96
Mostly Cloudy,snow,-3.7,0.92
Clear,snow,-6.0,0.88
Partly Cloudy,snow,-4.3,0.96
Clear,snow,-7.5,0.96
Mostly Cloudy,snow,-3.9,0.75
Mostly Cloudy,snow,-2.8,0.78
Partly Cloudy,snow,-1.2,0.77
Mostly Cloudy,snow,-1.8,0.93
Foggy,snow,-2.2,1.0
Partly Cloudy,snow,-7.7,0.92
Partly Cloudy,snow,-0.9,0.91
Foggy,snow,-5.0,0.92
Partly Cloudy,snow,-0.8,0.99
Foggy,snow,-5.0,0.92
Clear,snow,-0.2,0.92
Clear,snow,-2.1,0.88
Foggy,snow,-3.9,0.92
Partly Cloudy,snow,-14.0,0.99
Foggy,snow,-8.8,0.92
Foggy,snow,-4.0,0.84
Overcast,snow,-6.0,0.85
Clear,snow,-0.7,0.92
Mostly Cloudy,snow,-2.2,0.6
Overcast,snow,-1.1,0.92
Clear,snow,-0.4,0.89
Mostly Cloudy,snow,-0.7,0.78
Partly Cloudy,snow,-1.0,0.92
Overcast,snow,-0.0,0.85
Mostly Cloudy,snow,-0.0,0.61
Mostly Cloudy,snow,-1.1,0.81
Clear,snow,-6.0,0.93
Foggy,snow,-1.0,0.93
Mostly Cloudy,snow,-1.2,0.88
Partly Cloudy,snow,0.0,0.92
Overcast,snow,-1.7,0.96
Clear,snow,-3.9,0.57
Overcast,snow,-1.6,0.99
Partly Cloudy,snow,-2.2,0.75
Foggy,snow,-5.0,0.92
Clear,snow,-2.2,0.8
Partly Cloudy,snow,-3.8,0.51
Partly Cloudy,snow,-2.6,0.72
Clear,snow,-10.7,0.81
Clear,snow,-1.3,0.82
Breezy and Overcast,snow,-1.2,0.82
Clear,snow,-0.1,0.88
Mostly Cloudy,snow,-2.4,0.96
Foggy,snow,0.0,0.96
Mostly Cloudy,snow,-4.2,0.93
