Summary,Precipitation Type,Temperature,Humidity
Partly Cloudy,rain,9.5,0.89
Partly Cloudy,rain,9.4,0.86
Mostly Cloudy,rain,9.4,0.89
Partly Cloudy,rain,8.3,0.83
Mostly Cloudy,rain,8.8,0.83
Partly Cloudy,rain,9.2,0.85
Partly Cloudy,rain,7.7,0.95
Partly Cloudy,rain,8.8,0.89
Partly Cloudy,rain,10.8,0.82
Partly Cloudy,rain,13.8,0.72
Partly Cloudy,rain,16.0,0.67
Partly Cloudy,rain,17.1,0.54
Partly Cloudy,rain,17.8,0.55
Partly Cloudy,rain,17.3,0.51
Partly Cloudy,rain,18.9,0.47
Partly Cloudy,rain,18.9,0.46
Partly Cloudy,rain,15.4,0.6
Mostly Cloudy,rain,15.6,0.63
Mostly Cloudy,rain,14.3,0.69
Mostly Cloudy,rain,13.1,0.7
Mostly Cloudy,rain,11.6,0.77
Mostly Cloudy,rain,11.2,0.76
Partly Cloudy,rain,10.1,0.79
Mostly Cloudy,rain,10.2,0.77
Partly Cloudy,rain,10.4,0.62
Partly Cloudy,rain,9.9,0.66
Mostly Cloudy,rain,11.2,0.8
Partly Cloudy,rain,7.2,0.79
Partly Cloudy,rain,6.1,0.82
Partly Cloudy,rain,6.8,0.83
Mostly Cloudy,rain,7.3,0.85
Mostly Cloudy,rain,7.8,0.83
Mostly Cloudy,rain,9.9,0.78
Mostly Cloudy,rain,12.2,0.72
Mostly Cloudy,rain,15.1,0.61
Mostly Cloudy,rain,17.4,0.52
Mostly Cloudy,rain,19.0,0.46
Mostly Cloudy,rain,20.0,0.4
Mostly Cloudy,rain,21.0,0.4
Mostly Cloudy,rain,21.2,0.37
Mostly Cloudy,rain,20.1,0.4
Mostly Cloudy,rain,20.2,0.36
Mostly Cloudy,rain,20.0,0.43
Mostly Cloudy,rain,17.8,0.5
Mostly Cloudy,rain,16.1,0.53
Mostly Cloudy,rain,15.0,0.55
Overcast,rain,14.4,0.58
Overcast,rain,14.3,0.59
Overcast,rain,13.8,0.6
Overcast,rain,13.3,0.63
Overcast,rain,8.6,0.87
Overcast,rain,11.2,0.83
Overcast,rain,11.2,0.89
Overcast,rain,10.7,0.95
Mostly Cloudy,rain,11.1,0.93
Mostly Cloudy,rain,11.1,0.93
Partly Cloudy,rain,12.2,0.82
Partly Cloudy,rain,12.8,0.79
Partly Cloudy,rain,13.8,0.84
Partly Cloudy,rain,16.2,0.73
Mostly Cloudy,rain,17.5,0.67
Mostly Cloudy,rain,17.4,0.67
Mostly Cloudy,rain,17.4,0.71
Mostly Cloudy,rain,17.2,0.74
Mostly Cloudy,rain,15.6,0.81
Overcast,rain,13.6,0.9
Foggy,rain,10.9,0.86
Foggy,rain,8.8,0.99
Overcast,rain,9.0,0.93
Overcast,rain,8.2,0.96
Overcast,rain,7.7,0.96
Overcast,rain,7.8,0.96
Foggy,rain,8.2,0.96
Foggy,rain,8.2,0.93
Mostly Cloudy,rain,7.3,0.82
Overcast,rain,7.6,0.93
Overcast,rain,6.6,0.93
Overcast,rain,6.7,0.93
Overcast,rain,6.1,0.93
Overcast,rain,6.1,0.93
Breezy and Mostly Cloudy,rain,6.1,0.93
Breezy and Mostly Cloudy,rain,7.1,0.8
Overcast,rain,7.2,0.86
Mostly Cloudy,rain,7.6,0.84
Mostly Cloudy,rain,8.9,0.77
Mostly Cloudy,rain,10.0,0.71
Mostly Cloudy,rain,9.9,0.71
Mostly Cloudy,rain,11.1,0.71
Overcast,rain,10.1,0.76
Overcast,rain,11.0,0.66
Overcast,rain,10.6,0.7
Overcast,rain,10.1,0.7
Mostly Cloudy,rain,9.9,0.66
Overcast,rain,8.8,0.71
Mostly Cloudy,rain,7.8,0.72
Overcast,rain,7.9,0.72
Mostly Cloudy,rain,7.3,0.75
Overcast,rain,7.2,0.75
Partly Cloudy,rain,5.4,0.88
Overcast,rain,7.2,0.76
Overcast,rain,6.7,0.7
Overcast,rain,6.2,0.73
Overcast,rain,6.1,0.76
Overcast,rain,6.1,0.76
Overcast,rain,6.2,0.76
Overcast,rain,7.2,0.71
Overcast,rain,7.3,0.73
Overcast,rain,7.4,0.72
Overcast,rain,8.0,0.7
Overcast,rain,8.0,0.7
Overcast,rain,9.1,0.65
Overcast,rain,9.0,0.62
Overcast,rain,9.0,0.65
Overcast,rain,9.2,0.65
Overcast,rain,9.1,0.7
Overcast,rain,8.0,0.75
Overcast,rain,8.1,0.75
Overcast,rain,7.9,0.82
Overcast,rain,7.3,0.83
Mostly Cloudy,rain,7.3,0.84
Mostly Cloudy,rain,6.6,0.85
Partly Cloudy,rain,6.1,0.88
Partly Cloudy,rain,8.3,0.88
Mostly Cloudy,rain,5.2,0.91
Mostly Cloudy,rain,3.7,0.94
Mostly Cloudy,rain,4.9,0.93
Foggy,rain,5.2,0.92
Overcast,rain,6.3,0.92
Mostly Cloudy,rain,7.8,0.87
Mostly Cloudy,rain,10.1,0.76
Mostly Cloudy,rain,12.2,0.66
Mostly Cloudy,rain,12.7,0.63
Partly Cloudy,rain,13.9,0.58
Partly Cloudy,rain,15.1,0.59
Mostly Cloudy,rain,15.2,0.5
Partly Cloudy,rain,16.2,0.44
Partly Cloudy,rain,16.2,0.55
Partly Cloudy,rain,16.3,0.5
Partly Cloudy,rain,16.1,0.56
Partly Cloudy,rain,13.0,0.68
Mostly Cloudy,rain,13.8,0.64
Mostly Cloudy,rain,12.8,0.69
Mostly Cloudy,rain,12.2,0.72
Mostly Cloudy,rain,10.7,0.81
Mostly Cloudy,rain,10.4,0.83
Mostly Cloudy,rain,9.8,0.8
Mostly Cloudy,rain,11.0,0.74
Mostly Cloudy,rain,7.1,0.93
Mostly Cloudy,rain,7.6,0.89
Mostly Cloudy,rain,7.6,0.86
Mostly Cloudy,rain,7.0,0.86
Partly Cloudy,rain,8.6,0.84
Partly Cloudy,rain,9.6,0.84
Partly Cloudy,rain,12.1,0.72
Partly Cloudy,rain,12.8,0.71
Partly Cloudy,rain,13.8,0.65
Partly Cloudy,rain,16.0,0.48
Partly Cloudy,rain,17.1,0.47
Partly Cloudy,rain,17.1,0.43
Mostly Cloudy,rain,17.8,0.4
Mostly Cloudy,rain,17.8,0.37
Mostly Cloudy,rain,17.8,0.43
Mostly Cloudy,rain,16.2,0.52
Mostly Cloudy,rain,14.0,0.63
Mostly Cloudy,rain,13.1,0.67
Mostly Cloudy,rain,12.3,0.72
Overcast,rain,12.8,0.66
Overcast,rain,12.7,0.67
Overcast,rain,12.3,0.69
Overcast,rain,11.7,0.71
Partly Cloudy,rain,10.8,0.86
Overcast,rain,12.2,0.59
Overcast,rain,12.2,0.6
Overcast,rain,11.7,0.68
Overcast,rain,11.2,0.77
Mostly Cloudy,rain,11.1,0.77
Mostly Cloudy,rain,11.4,0.77
Mostly Cloudy,rain,13.0,0.81
Mostly Cloudy,rain,17.2,0.62
Mostly Cloudy,rain,17.7,0.53
Overcast,rain,17.8,0.56
Mostly Cloudy,rain,18.9,0.56
Overcast,rain,18.7,0.56
Overcast,rain,17.8,0.56
Overcast,rain,17.8,0.59
Mostly Cloudy,rain,17.3,0.57
Mostly Cloudy,rain,16.1,0.67
Mostly Cloudy,rain,14.9,0.73
Mostly Cloudy,rain,13.9,0.78
Mostly Cloudy,rain,12.8,0.84
Mostly Cloudy,rain,12.8,0.84
Mostly Cloudy,rain,12.4,0.86
Mostly Cloudy,rain,11.2,0.93
Mostly Cloudy,rain,11.7,0.9
Partly Cloudy,rain,9.0,0.95
Mostly Cloudy,rain,10.6,0.93
Mostly Cloudy,rain,10.5,0.89
Mostly Cloudy,rain,10.6,0.87
Mostly Cloudy,rain,10.0,0.89
Mostly Cloudy,rain,11.0,0.86
Partly Cloudy,rain,13.5,0.75
Partly Cloudy,rain,13.9,0.68
Partly Cloudy,rain,15.0,0.67
Partly Cloudy,rain,17.2,0.57
Mostly Cloudy,rain,16.2,0.62
Mostly Cloudy,rain,17.8,0.56
Mostly Cloudy,rain,18.4,0.54
Partly Cloudy,rain,17.8,0.59
Partly Cloudy,rain,17.3,0.57
Partly Cloudy,rain,17.5,0.55
Mostly Cloudy,rain,17.3,0.54
Mostly Cloudy,rain,15.1,0.61
Mostly Cloudy,rain,13.2,0.69
Partly Cloudy,rain,12.3,0.72
Partly Cloudy,rain,10.7,0.79
Partly Cloudy,rain,9.9,0.85
Partly Cloudy,rain,9.5,0.88
Partly Cloudy,rain,8.4,0.92
Mostly Cloudy,rain,13.0,0.82
Partly Cloudy,rain,7.7,0.96
Partly Cloudy,rain,6.1,0.96
Partly Cloudy,rain,6.5,0.95
Foggy,rain,6.6,0.96
Clear,rain,8.7,0.93
Partly Cloudy,rain,12.0,0.81
